Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
20867,1.04,0.01,0.09,29.09,1.17,1.82,1.01
20971,1.03,0.01,0.11,29.19,1.26,0.45,0.99
21076,1.03,0.01,0.09,29.05,1.38,1.46,0.85
21181,1.04,0.02,0.10,29.09,1.31,0.57,1.01
21285,1.04,0.01,0.10,29.05,1.42,1.18,1.02
21390,1.03,0.02,0.08,29.14,1.07,1.07,1.04
21494,1.03,0.01,0.11,29.09,1.23,0.77,0.89
21599,1.04,0.01,0.07,29.09,1.34,1.40,1.05
21703,1.04,0.01,0.12,29.05,1.34,0.28,0.94
21808,1.03,0.02,0.08,29.09,1.43,1.76,0.97
21912,1.04,0.01,0.10,29.00,1.42,0.66,0.89
22017,1.03,0.01,0.08,29.09,1.40,1.37,1.02
22122,1.04,0.02,0.10,29.09,1.20,0.53,0.86
22226,1.03,0.01,0.10,29.14,1.18,1.28,1.11
22331,1.04,0.01,0.08,29.09,1.27,0.93,1.15
22435,1.04,0.02,0.11,29.14,1.28,0.49,1.00
22540,1.03,0.01,0.07,29.05,1.45,1.55,0.95
22644,1.03,0.01,0.11,29.09,1.16,0.22,0.99
22749,1.03,0.01,0.09,29.05,1.27,2.01,0.91
22853,1.04,0.01,0.09,29.05,1.33,0.38,0.86
22958,1.04,0.01,0.10,29.14,1.19,1.51,0.93
23062,1.04,0.01,0.09,29.14,1.28,0.79,0.96
23168,1.04,0.01,0.11,29.09,1.21,0.86,0.85
23272,1.03,0.02,0.08,29.09,1.55,1.21,0.95
23376,1.04,0.01,0.11,29.09,1.30,0.46,0.82
23481,1.04,0.01,0.07,29.19,1.34,1.57,0.88
23585,1.04,0.01,0.11,29.14,1.47,0.20,1.05
23690,1.03,0.01,0.08,29.05,1.40,1.60,0.84
23794,1.04,0.01,0.10,29.05,1.22,0.48,0.97
23899,1.04,0.01,0.11,29.09,1.18,1.18,0.98
24003,1.04,0.02,0.08,29.00,1.36,0.93,0.97
24108,1.04,0.01,0.12,29.14,1.27,0.91,1.14
24213,1.03,0.01,0.07,29.09,1.27,1.20,0.98
24317,1.05,0.01,0.12,29.14,1.40,0.27,1.02
24422,1.03,0.01,0.08,29.09,1.27,1.65,0.84
24526,1.04,0.02,0.10,29.00,1.27,0.23,0.99
24631,1.04,0.02,0.09,29.09,1.15,1.62,1.10
24735,1.03,0.01,0.09,29.00,1.45,0.61,0.85
24840,1.03,0.01,0.10,29.05,1.24,1.25,0.98
24944,1.03,0.01,0.08,29.09,1.38,1.11,1.22
25049,1.04,0.01,0.12,29.09,1.43,0.47,1.08
25153,1.04,0.01,0.07,29.14,1.47,1.57,0.92
25259,1.03,0.01,0.12,29.14,1.43,0.28,1.02
25363,1.03,0.01,0.09,28.95,1.20,1.59,0.90
25467,1.04,0.01,0.09,29.00,1.43,0.12,1.03
25572,1.04,0.01,0.09,29.09,1.20,1.51,0.91
25676,1.03,0.02,0.08,29.09,1.41,0.76,1.09
25781,1.04,0.01,0.11,28.95,1.01,0.94,0.82
25885,1.04,0.01,0.08,29.05,1.20,1.34,1.02
25990,1.04,0.01,0.11,29.09,1.19,0.68,0.96
26094,1.04,0.01,0.07,29.00,1.36,1.63,1.09
26199,1.03,0.02,0.10,29.05,1.27,0.27,0.89
26304,1.04,0.01,0.08,29.14,1.54,1.49,0.89
26408,1.04,0.02,0.09,29.05,1.35,0.40,0.92
26513,1.04,0.01,0.11,29.09,1.29,1.64,0.85
26617,1.03,0.01,0.08,29.05,1.45,0.74,0.99
26722,1.04,0.01,0.10,29.00,1.35,0.96,0.89
26826,1.04,0.01,0.07,29.19,1.28,1.21,0.98
26931,1.03,0.01,0.12,29.09,1.34,0.34,0.89
27035,1.04,0.01,0.07,29.14,1.42,1.44,0.87
27140,1.04,0.01,0.10,29.14,1.14,0.48,0.93
27245,1.03,0.01,0.07,29.05,1.03,1.88,0.98
27350,1.04,0.01,0.10,29.05,1.47,0.39,1.09
27454,1.04,0.01,0.10,29.05,1.10,1.40,1.08
27558,1.04,0.01,0.07,29.14,1.37,0.95,1.07
27663,1.04,0.02,0.11,29.09,1.36,0.81,1.11
27767,1.04,0.01,0.08,29.05,1.31,1.70,1.00
27872,1.05,0.01,0.11,29.14,1.37,0.37,0.93
27976,1.03,0.01,0.08,29.14,1.18,1.71,1.02
28081,1.04,0.01,0.10,29.05,1.37,0.46,1.06
28185,1.03,0.01,0.09,29.14,1.36,1.69,1.05
28291,1.04,0.01,0.09,29.05,1.58,0.27,1.15
28395,1.04,0.01,0.10,29.05,1.15,1.12,1.05
28499,1.03,0.01,0.07,29.19,1.35,1.07,1.06
28604,1.04,0.01,0.11,29.09,1.13,0.53,1.02
28708,1.03,0.01,0.07,29.09,1.29,1.68,1.03
28813,1.04,0.01,0.12,29.14,1.36,0.21,0.91
28917,1.03,0.01,0.09,29.14,1.21,1.77,1.11
29022,1.04,0.01,0.09,29.05,1.42,0.40,0.93
29126,1.03,0.01,0.09,29.00,1.40,1.48,0.95
29231,1.04,0.01,0.08,29.09,1.30,0.57,0.92
29336,1.04,0.01,0.11,29.24,1.21,1.01,0.99
29441,1.04,0.01,0.07,29.14,1.63,1.01,1.14
29545,1.04,0.02,0.11,28.91,1.33,0.62,0.94
29649,1.04,0.01,0.08,29.00,1.26,1.82,1.15
29754,1.04,0.01,0.09,29.09,1.40,0.22,0.97
