Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
20560,0.35,-0.06,-0.89,27.54,1.35,1.60,0.63
20665,0.36,-0.06,-0.89,27.54,1.22,1.26,0.77
20769,0.36,-0.06,-0.88,27.49,1.40,1.40,0.95
20874,0.36,-0.06,-0.89,27.49,1.29,1.86,0.85
20978,0.35,-0.06,-0.89,27.54,1.44,1.70,0.86
21083,0.36,-0.05,-0.89,27.54,1.31,1.65,0.73
21187,0.36,-0.06,-0.89,27.54,1.50,1.21,0.83
21292,0.37,-0.06,-0.89,27.59,1.47,1.33,0.60
21397,0.36,-0.05,-0.89,27.49,1.66,1.28,0.76
21501,0.36,-0.06,-0.89,27.54,1.39,1.31,0.76
21606,0.36,-0.06,-0.88,27.64,1.30,1.29,0.89
21710,0.36,-0.06,-0.88,27.59,1.33,1.66,0.86
21815,0.36,-0.05,-0.89,27.59,1.35,1.47,0.95
21919,0.36,-0.06,-0.90,27.64,1.24,1.55,0.86
22024,0.36,-0.05,-0.90,27.54,1.34,1.22,0.79
22128,0.36,-0.05,-0.89,27.59,1.24,1.13,0.85
22234,0.36,-0.06,-0.88,27.64,1.31,1.65,0.85
22338,0.35,-0.05,-0.89,27.54,1.24,1.48,0.70
22443,0.35,-0.06,-0.89,27.68,1.31,1.19,0.71
22547,0.35,-0.06,-0.89,27.59,1.21,1.95,0.93
22651,0.35,-0.06,-0.89,27.54,1.17,1.03,0.67
22756,0.36,-0.07,-0.88,27.59,1.27,1.25,0.74
22860,0.35,-0.06,-0.89,27.59,1.31,1.73,0.72
22966,0.36,-0.05,-0.88,27.64,1.31,1.34,0.91
23070,0.36,-0.06,-0.90,27.54,1.37,1.67,0.79
23175,0.35,-0.06,-0.89,27.59,1.08,0.89,0.84
23279,0.35,-0.06,-0.88,27.68,1.24,1.21,0.60
23384,0.36,-0.06,-0.90,27.64,1.21,1.55,0.85
23488,0.36,-0.06,-0.90,27.64,1.37,1.37,0.90
23592,0.35,-0.06,-0.89,27.59,1.37,1.32,0.82
23697,0.36,-0.06,-0.88,27.73,1.43,1.76,0.63
23802,0.36,-0.06,-0.89,27.73,1.60,1.95,0.79
23907,0.36,-0.06,-0.90,27.59,1.38,1.41,0.85
24011,0.36,-0.06,-0.90,27.64,1.60,1.16,0.90
24116,0.36,-0.06,-0.90,27.64,1.27,1.28,0.82
24220,0.35,-0.06,-0.88,27.59,1.24,1.28,0.91
24325,0.36,-0.06,-0.89,27.68,1.27,1.52,1.02
24429,0.35,-0.06,-0.89,27.73,1.49,1.56,0.76
24534,0.35,-0.06,-0.90,27.78,1.31,1.70,0.78
24638,0.35,-0.06,-0.89,27.73,1.43,1.30,0.90
24743,0.36,-0.05,-0.89,27.73,1.28,1.84,0.82
24848,0.36,-0.06,-0.90,27.64,1.37,1.36,0.92
24952,0.36,-0.06,-0.89,27.54,1.34,1.27,0.81
25057,0.36,-0.06,-0.89,27.68,1.30,1.59,0.92
25161,0.36,-0.06,-0.89,27.82,1.23,1.64,0.81
25266,0.35,-0.05,-0.90,27.64,1.42,1.53,0.81
25370,0.36,-0.06,-0.89,27.68,1.21,1.76,0.71
25475,0.36,-0.06,-0.90,27.64,1.36,1.33,1.01
25580,0.36,-0.05,-0.89,27.73,1.30,0.76,0.66
25684,0.35,-0.06,-0.88,27.78,1.17,2.08,0.84
25789,0.35,-0.06,-0.90,27.68,1.30,1.11,0.84
25893,0.36,-0.06,-0.88,27.73,1.37,1.50,0.88
25998,0.36,-0.06,-0.89,27.78,1.50,1.41,0.88
26102,0.35,-0.06,-0.89,27.68,1.38,1.50,0.91
26207,0.36,-0.06,-0.88,27.78,1.35,0.97,0.77
26311,0.36,-0.05,-0.88,27.68,1.25,1.43,0.81
26417,0.36,-0.06,-0.89,27.73,1.32,1.50,0.79
26521,0.36,-0.06,-0.89,27.68,1.42,1.36,0.89
26626,0.36,-0.06,-0.89,27.73,1.40,1.50,0.86
26730,0.35,-0.05,-0.89,27.68,1.32,1.38,0.80
26834,0.36,-0.05,-0.90,27.78,1.37,1.64,0.69
26939,0.35,-0.06,-0.90,27.73,1.39,1.72,0.82
27043,0.36,-0.06,-0.89,27.78,1.22,0.98,0.64
27148,0.35,-0.05,-0.88,27.78,1.34,1.63,0.79
27253,0.35,-0.07,-0.89,27.73,1.33,1.39,0.74
27358,0.36,-0.05,-0.89,27.73,1.12,1.13,0.73
27462,0.35,-0.06,-0.89,27.78,1.35,1.31,0.75
27567,0.35,-0.05,-0.89,27.73,1.31,1.56,0.76
27671,0.36,-0.06,-0.89,27.82,1.19,1.32,0.60
27776,0.36,-0.05,-0.89,27.78,1.47,1.56,0.81
27880,0.35,-0.06,-0.90,27.78,1.24,1.66,0.70
27984,0.35,-0.05,-0.90,27.73,1.24,1.35,0.92
28090,0.35,-0.06,-0.89,27.78,1.20,1.34,0.86
28194,0.35,-0.05,-0.89,27.78,1.27,1.21,0.81
28299,0.35,-0.06,-0.89,27.73,1.14,1.48,0.85
28403,0.35,-0.06,-0.88,27.68,1.34,1.18,0.76
28508,0.35,-0.06,-0.89,27.87,1.27,1.64,0.92
