X,Y,Z
-4636.475210375001,28.017364250000142,783.3577164375001
-4666.060301625001,39.994491750000144,779.9271859375001
-4695.645392875001,51.971619250000145,775.9124595625001
-4725.230484125001,64.24849450000015,771.5102655625001
-4754.815575375001,76.82511750000015,766.6900763125001
-4784.400666625001,89.40174050000014,761.6622564375001
-4813.985757875001,101.97836350000014,756.6344365625001
-4843.570849125001,114.38078731250015,751.6066166875001
-4873.155940375001,126.27716112500015,746.7898142500002
-4902.741031625001,137.63750387500014,742.1840292500002
-4932.326122875001,148.56675412500013,737.5782442500002
-4961.672206125001,158.93971500000012,732.9724592500003
-4990.508361750001,168.74006768750013,728.3666742500003
-5019.073597750002,178.09618962500014,723.7608892500003
-5047.638833750002,187.25131187500014,719.1551042500004
-5076.204069750002,196.40643412500015,714.5493192500004
-5104.769305750003,205.56155637500015,709.7378416875005
-5133.334541750003,214.45354256250016,704.7206715625005
-5161.8997777500035,222.68692025000018,699.7035014375004
-5190.465013750004,230.14963900000018,694.6863313125004
-5219.030249750004,236.73515731250018,689.8494078125004
-5247.595485750005,242.36384306250017,685.1927309375004
-5275.883772562505,247.20204443750018,680.5360540625004
-5303.676326812505,251.40013568750018,675.8793771875004
-5331.011349937506,255.29378256250018,671.2227003125004
-5357.804893937506,259.18742943750016,666.5660234375003
-5384.126978062506,263.29928243750015,661.9093465625003
-5409.937252250006,267.94652706250014,657.2526696875003
-5435.144125125006,273.4628556250001,652.5959928125003
-5459.9243320625055,280.0875751875001,647.9393159375003
-5484.538192937505,287.82071043750005,643.5071326250003
-5509.152053812505,296.60908062500005,639.6142267500003
-5533.765914687505,306.2484665,636.3331518125003
-5558.379775562505,316.5116969375,633.6349905625003
-5582.993636437504,327.274776125,631.5294538125004
-5607.607497312504,338.26156337500004,629.9491426875003
-5632.221358187504,349.24835062500006,628.7867443125002
-5656.835219062504,360.2351378750001,627.9834204375003
-5681.4490799375035,370.9251249375001,627.5678721250002
-5706.062940812503,381.0869594375001,627.3804698750002
-5730.835581750003,390.78122075000016,627.1930676250003
-5755.7670027500035,400.0046411875001,627.0056653750003
-5780.698423750004,408.7667390000001,626.8182631250003
-5805.465605500004,417.0127835625001,626.6308608750003
-5829.821887312504,424.5159839375001,626.4434586250003
-5853.710782062504,431.10072687500013,626.4838260000002
-5877.010370937504,436.8526150000001,626.7519630000003
-5899.520142687505,441.90770112500013,627.2694455625003
-5921.351304437504,446.47979306250016,628.3198036250003
-5942.925093812504,450.69752631250014,630.0878487500003
-5964.498883187504,454.4578829375002,632.6406938125003
-5986.348400875005,457.7187522500002,635.7734366250003
-6008.800688812505,460.5024662500002,639.1354343750003
-6031.580018687505,462.8964595000002,642.4974321250003
-6054.555355437506,465.1355010000002,646.0188235000003
-6078.150987875006,467.3745425000002,649.6996085000003
-6102.479855500006,469.6135840000002,653.3803935000003
-6127.3865201250055,471.85262550000016,657.0611785000003
-6152.925626625006,473.86962693750013,660.7419635000003
-6178.828324375006,475.43464650000016,664.4227485000004
-6204.731022125005,476.76972425000014,668.4015346250004
-6230.936125062505,477.8519670000001,672.6783218750004
