Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
17942,0.08,-0.00,0.95,28.77,1.34,1.06,1.05
18046,0.07,0.01,0.95,28.91,1.47,0.93,0.86
18151,0.08,0.01,0.96,28.95,1.23,0.96,0.91
18256,0.07,0.00,0.96,29.00,1.37,0.98,1.15
18361,0.07,0.01,0.95,28.86,1.41,0.83,0.95
18465,0.08,0.00,0.95,28.91,1.50,1.22,1.15
18570,0.08,0.00,0.94,28.81,1.23,0.87,1.03
18674,0.08,0.00,0.95,28.81,1.40,0.98,0.96
18779,0.08,0.01,0.95,29.00,1.39,0.89,1.08
18883,0.08,0.01,0.95,28.91,1.16,1.09,1.12
18988,0.08,0.01,0.95,28.91,1.27,1.02,1.03
19092,0.08,0.00,0.95,28.86,1.21,0.80,0.87
19196,0.08,0.00,0.96,28.91,1.41,1.13,0.89
19302,0.08,0.00,0.94,28.86,1.45,0.97,1.10
19406,0.08,0.00,0.96,28.81,1.36,0.96,0.94
19511,0.07,0.00,0.94,28.77,1.40,0.89,0.93
19615,0.08,0.01,0.96,28.72,1.57,0.95,0.92
19720,0.07,0.01,0.94,28.95,1.40,0.87,0.89
19824,0.08,0.01,0.95,28.81,1.31,0.92,0.80
19929,0.07,0.00,0.96,28.86,1.40,0.92,1.03
20033,0.07,0.01,0.95,28.91,1.21,0.86,1.13
20137,0.07,-0.00,0.96,28.91,1.38,1.03,0.92
20243,0.07,0.00,0.94,28.77,1.20,0.91,1.00
20347,0.07,0.00,0.96,28.91,1.42,1.05,0.92
20452,0.07,0.01,0.95,28.86,1.31,0.82,1.12
20556,0.08,0.01,0.94,28.81,1.37,1.02,1.00
20661,0.07,0.01,0.94,28.86,1.31,0.96,0.99
20765,0.08,0.00,0.96,28.81,1.31,1.00,0.96
20870,0.07,0.01,0.96,28.91,1.37,1.04,1.00
20974,0.08,0.00,0.94,28.81,1.29,0.96,0.92
21079,0.07,0.01,0.96,28.86,1.43,0.93,1.09
21183,0.08,0.00,0.95,28.91,1.27,0.95,1.02
21288,0.08,0.01,0.95,28.95,1.47,1.13,1.01
21393,0.07,0.01,0.95,28.81,1.25,1.02,0.97
21497,0.08,0.00,0.95,28.86,1.41,0.96,1.04
21602,0.07,0.01,0.95,28.91,1.31,1.01,1.03
21706,0.08,0.01,0.95,28.91,1.37,0.90,0.92
21811,0.07,-0.00,0.96,28.77,1.47,1.15,0.83
21915,0.08,0.00,0.94,28.91,1.31,0.95,0.92
22020,0.07,0.01,0.96,28.95,1.42,0.94,0.98
22124,0.07,0.01,0.94,28.91,1.34,1.05,0.94
22230,0.07,0.01,0.96,28.81,1.48,1.11,1.07
22334,0.07,0.01,0.95,28.81,1.39,0.96,0.92
22438,0.08,0.01,0.94,28.91,1.31,0.89,1.04
22543,0.07,0.00,0.96,28.86,1.47,0.85,1.05
22647,0.08,0.01,0.95,28.91,1.31,1.05,1.05
22752,0.08,0.01,0.96,28.91,1.34,0.95,0.89
22856,0.08,0.00,0.94,28.86,1.15,0.98,1.04
22961,0.08,0.01,0.96,28.91,1.29,1.05,1.10
23065,0.08,0.00,0.94,28.86,1.30,1.00,0.99
23170,0.08,0.01,0.95,28.91,1.26,0.77,0.85
23275,0.08,0.01,0.95,29.00,1.21,1.05,1.15
23379,0.08,0.00,0.96,28.86,1.25,0.89,0.94
23484,0.07,0.01,0.96,28.95,1.27,0.95,1.05
23588,0.07,0.00,0.94,28.95,1.36,1.02,1.02
23693,0.07,0.01,0.95,28.91,1.42,0.98,0.98
23797,0.08,-0.00,0.95,28.95,1.37,0.95,0.84
23902,0.08,0.01,0.94,28.91,1.47,1.04,0.78
24006,0.07,0.01,0.95,28.91,1.31,1.04,1.05
24111,0.07,0.01,0.96,28.91,1.42,1.02,1.06
24216,0.07,0.01,0.95,28.86,1.47,1.03,1.04
24321,0.08,0.01,0.94,28.81,1.30,0.85,0.97
24425,0.07,0.01,0.97,28.77,1.31,0.95,1.13
24529,0.08,-0.00,0.95,28.91,1.38,0.89,1.04
24634,0.08,0.01,0.95,28.91,1.38,0.97,0.89
24738,0.08,0.01,0.96,28.81,1.40,0.95,1.09
24843,0.07,0.01,0.95,28.86,1.25,1.05,1.09
24947,0.08,0.00,0.96,28.91,1.43,1.16,0.94
25052,0.08,0.01,0.95,28.91,1.33,1.05,1.07
25156,0.08,0.00,0.96,28.86,1.22,0.98,1.02
25262,0.08,0.00,0.95,28.91,1.34,1.15,1.04
25366,0.08,0.01,0.95,28.86,1.37,0.98,1.13
25470,0.08,0.00,0.94,28.91,1.37,1.00,1.14
25575,0.08,0.00,0.96,28.81,1.47,1.14,0.96
25679,0.07,0.00,0.94,28.95,1.19,1.01,1.08
25784,0.08,0.00,0.95,28.91,1.32,1.02,1.18
25888,0.08,0.01,0.96,28.86,1.31,0.93,0.94
25993,0.08,-0.00,0.96,28.91,1.23,0.98,1.08
26097,0.08,0.01,0.96,28.91,1.31,1.05,1.02
26203,0.07,0.00,0.94,28.86,1.18,0.92,0.98
26307,0.08,0.00,0.96,28.91,1.35,1.11,1.05
26412,0.08,0.01,0.93,28.86,1.35,0.81,1.05
26516,0.08,0.01,0.96,28.91,1.50,1.03,1.02
26620,0.08,-0.00,0.95,28.91,1.36,0.99,1.02
26725,0.07,0.00,0.95,28.86,1.41,0.89,0.95
26829,0.07,0.01,0.96,28.91,1.44,1.00,0.99
26934,0.07,0.00,0.94,28.95,1.24,0.82,1.15
27038,0.07,0.01,0.96,28.81,1.44,0.95,1.06
27144,0.08,0.01,0.95,28.91,1.27,0.85,1.00
27248,0.07,0.01,0.96,28.77,1.27,0.95,1.01
27353,0.08,0.01,0.94,28.91,1.25,0.85,0.77
27457,0.08,0.00,0.94,28.95,1.35,0.92,1.10
27561,0.07,0.01,0.95,28.91,1.08,0.88,1.05
27666,0.08,-0.00,0.94,28.77,1.30,1.04,0.98
27770,0.07,0.01,0.96,28.86,1.44,1.16,1.11
27875,0.08,0.00,0.95,28.81,1.40,1.04,0.98
27979,0.07,0.00,0.95,28.86,1.46,1.07,0.89
28084,0.07,0.01,0.96,28.81,1.40,0.84,1.03
28189,0.08,0.00,0.95,28.77,1.48,0.98,1.02
28294,0.08,-0.00,0.96,28.86,1.40,0.92,1.00
28398,0.07,0.00,0.95,28.81,1.42,1.18,0.88
28503,0.07,0.01,0.95,28.77,1.39,0.99,0.96
28607,0.07,0.00,0.94,28.91,1.53,1.07,0.95
28711,0.08,0.01,0.96,28.86,1.48,0.92,0.95
28816,0.07,0.00,0.96,28.91,1.20,0.82,0.95
28920,0.08,0.00,0.97,28.91,1.38,0.96,1.13
29025,0.07,-0.00,0.94,28.86,1.11,0.95,1.08
29129,0.07,0.00,0.95,28.81,1.19,0.82,1.04
29235,0.08,0.01,0.94,28.86,1.25,0.87,1.02
29339,0.07,0.01,0.96,28.91,1.40,1.09,0.92
29444,0.07,0.01,0.96,28.86,1.44,1.01,0.82
29548,0.07,0.01,0.95,28.81,1.36,0.87,1.03
29652,0.08,0.01,0.95,28.86,1.35,0.97,1.11
29757,0.08,0.01,0.96,28.81,1.39,0.98,1.09
29861,0.07,0.00,0.96,28.95,1.44,1.12,1.11
29966,0.07,0.01,0.95,28.91,1.31,0.92,1.07
30070,0.07,0.00,0.95,28.86,1.31,0.95,0.94
30176,0.07,0.01,0.95,28.81,1.49,1.01,1.01
30280,0.07,0.01,0.95,28.86,1.41,0.98,1.05
30385,0.07,0.01,0.96,28.91,1.27,1.05,0.95
30489,0.07,0.01,0.95,28.86,1.33,1.06,1.05
30594,0.08,0.00,0.96,28.86,1.31,0.91,1.01
30698,0.08,0.01,0.94,28.91,1.21,0.69,0.98
30802,0.08,-0.00,0.96,28.95,1.35,1.15,0.94
30907,0.08,0.01,0.95,28.91,1.34,0.89,0.92
31011,0.08,0.01,0.95,28.81,1.33,1.15,1.09
31117,0.08,0.01,0.95,28.72,1.30,0.95,0.98
31221,0.08,-0.00,0.95,28.95,1.34,1.01,0.89
