191939,0.08,0.01,-0.94,29.14,1.30,0.90,1.08
192945,0.08,0.01,-0.95,29.14,1.42,1.05,1.08
193949,0.07,0.00,-0.95,29.14,1.44,0.85,0.89
194954,0.07,0.01,-0.95,29.28,1.37,0.89,0.92
195958,0.07,0.01,-0.96,29.09,1.32,1.15,1.05
196963,0.07,0.01,-0.96,29.19,1.31,0.92,1.05
197967,0.08,0.00,-0.94,29.05,1.18,0.98,1.08
198972,0.08,0.01,-0.96,29.09,1.40,0.97,0.96
199976,0.07,0.01,-0.97,29.14,1.35,0.80,1.00
200981,0.08,0.01,-0.94,29.28,1.31,1.02,0.95
201986,0.08,0.00,-0.96,29.09,1.29,0.76,1.05
202990,0.08,0.00,-0.96,29.09,1.31,1.13,0.96
203995,0.08,0.00,-0.94,29.09,1.37,1.02,0.98
204999,0.08,0.00,-0.95,29.19,1.20,0.82,0.95
206004,0.08,0.01,-0.96,29.09,1.24,1.05,1.08
207008,0.08,0.00,-0.94,29.09,1.36,0.92,1.02
208013,0.08,0.00,-0.96,29.09,1.50,0.86,1.07
209017,0.08,0.01,-0.97,29.09,1.47,0.93,1.21
210022,0.08,0.00,-0.93,29.09,1.39,1.02,0.95
211026,0.08,0.00,-0.96,29.14,1.35,1.02,0.98
212031,0.08,0.00,-0.96,29.09,1.18,1.25,1.00
213037,0.07,0.00,-0.95,29.00,1.27,0.89,0.94
214041,0.08,0.00,-0.95,29.14,1.34,0.87,0.91
215046,0.07,0.00,-0.97,29.19,1.26,1.01,1.04
216050,0.07,0.00,-0.95,29.14,1.37,1.18,0.92
217055,0.08,0.00,-0.94,29.14,1.34,0.94,0.85
218059,0.08,0.01,-0.96,29.00,1.30,1.13,0.92
219064,0.08,0.01,-0.96,29.05,1.31,0.92,0.98
220068,0.08,-0.00,-0.94,29.09,1.15,0.82,0.93
221073,0.08,0.01,-0.96,29.00,1.40,0.94,0.94
222077,0.08,0.01,-0.95,29.00,1.36,0.95,1.07
223082,0.08,0.00,-0.95,29.00,1.44,1.21,0.98
224087,0.07,0.00,-0.96,29.09,1.41,1.00,1.01
225091,0.07,0.00,-0.95,29.14,1.33,1.03,1.02
226096,0.08,0.00,-0.93,29.14,1.17,0.85,1.00
227100,0.07,0.00,-0.95,29.09,1.34,1.03,0.88
228105,0.07,0.01,-0.95,29.14,1.36,1.07,1.03
229109,0.08,0.00,-0.95,29.09,1.30,0.98,1.03
230114,0.08,0.01,-0.96,29.09,1.45,1.00,1.01
231118,0.07,0.00,-0.96,29.09,1.39,1.04,0.94
232123,0.08,0.00,-0.93,29.09,1.26,0.97,0.95
233127,0.08,0.00,-0.95,29.00,1.49,1.00,1.04
234132,0.07,0.01,-0.96,29.00,1.27,1.11,1.00
235138,0.07,0.00,-0.95,28.95,1.21,1.06,0.96
236142,0.08,0.00,-0.95,29.14,1.29,0.98,1.01
237147,0.07,0.01,-0.96,29.09,1.41,0.95,1.08
238151,0.07,-0.00,-0.95,29.00,1.31,1.05,0.85
239156,0.08,0.00,-0.96,29.09,1.40,1.00,1.12
