Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ 
27246,0.01,1.00,0.08,29.24,0.60,0.80,1.00
27351,0.01,1.00,-0.01,29.28,1.82,1.41,0.92
27455,0.01,1.00,0.11,29.38,1.34,1.09,1.01
27559,0.01,0.99,-0.04,29.24,1.03,1.20,1.06
27664,0.02,1.00,0.11,29.28,2.14,1.17,0.95
27768,0.02,0.99,-0.04,29.38,0.05,0.44,1.16
27873,0.04,1.00,0.10,29.28,2.52,1.16,1.01
27977,0.04,1.00,0.01,29.28,0.15,0.48,0.95
28082,0.03,0.99,0.05,29.38,2.19,1.58,0.76
28187,0.02,1.00,0.07,29.38,0.85,0.85,1.08
28292,0.01,1.00,0.00,29.19,1.41,1.27,0.84
28396,0.01,1.00,0.11,29.28,1.66,1.12,1.02
28500,0.01,0.99,-0.04,29.28,0.48,0.89,0.97
28605,0.03,1.00,0.11,29.38,2.44,1.15,1.10
28709,0.03,0.99,-0.02,29.28,0.07,0.53,0.97
28814,0.04,1.00,0.09,29.24,2.47,1.17,0.76
28918,0.03,1.01,0.06,29.24,0.41,0.61,0.89
29023,0.02,0.99,0.02,29.38,2.07,1.37,0.92
29128,0.01,1.01,0.09,29.38,1.14,0.91,1.12
29233,0.00,0.99,-0.04,29.33,1.31,1.25,1.23
29337,0.02,1.00,0.11,29.33,2.01,1.29,1.02
29442,0.03,0.99,-0.02,29.28,0.24,0.67,1.03
29546,0.04,1.00,0.10,29.28,2.49,1.06,0.84
29650,0.03,1.00,0.04,29.38,-0.03,0.27,0.98
29755,0.02,0.99,0.04,29.33,2.24,1.47,1.01
29859,0.02,1.00,0.09,29.28,0.74,0.96,1.01
29964,0.00,1.00,-0.03,29.33,1.45,1.43,0.89
30068,0.01,1.00,0.10,29.19,1.48,1.05,0.91
30174,0.01,0.99,-0.04,29.19,0.60,0.98,1.12
30278,0.02,1.00,0.11,29.33,2.34,1.05,1.05
30383,0.04,1.00,-0.03,29.28,0.23,0.47,1.16
30487,0.04,1.00,0.10,29.24,2.57,1.08,0.79
30592,0.03,1.01,0.06,29.28,0.38,0.34,1.05
30696,0.02,0.99,0.03,29.28,2.00,1.36,0.89
30800,0.01,1.00,0.11,29.24,1.02,0.89,0.95
30905,0.00,0.99,-0.03,29.28,1.02,1.18,0.98
31009,0.02,1.00,0.11,29.33,1.66,1.07,1.19
31115,0.04,1.00,-0.02,29.24,0.24,0.75,0.96
31219,0.03,1.00,0.10,29.28,2.34,1.17,0.95
31324,0.03,0.99,-0.00,29.28,0.08,0.43,1.01
31428,0.04,0.99,0.07,29.24,2.48,1.27,0.92
31533,0.02,1.01,0.06,29.24,0.68,0.76,1.06
31637,0.01,1.00,0.01,29.24,1.84,1.53,0.95
31741,0.01,1.01,0.11,29.24,1.34,1.14,1.05
31846,0.00,0.99,-0.04,29.24,0.69,0.81,0.92
31950,0.03,1.00,0.11,29.28,2.17,1.25,0.98
32055,0.02,0.99,-0.03,29.38,0.17,0.59,1.01
32160,0.04,0.99,0.10,29.28,2.40,1.21,0.48
32265,0.04,1.00,0.03,29.28,0.26,0.44,1.01
32369,0.02,1.00,0.05,29.28,2.15,1.24,0.98
32474,0.01,1.01,0.09,29.28,0.92,0.79,1.03
32578,0.01,1.00,-0.01,29.28,1.47,1.14,0.95
32683,0.01,1.00,0.12,29.33,1.60,1.21,1.11
32787,0.02,0.99,-0.05,29.33,0.31,0.99,1.09
32891,0.03,1.00,0.10,29.33,2.47,1.16,0.89
32996,0.04,1.00,0.00,29.24,0.10,0.53,1.10
33100,0.03,1.00,0.08,29.33,2.49,1.17,0.80
33206,0.03,1.01,0.06,29.24,0.62,0.49,1.17
33310,0.02,1.00,0.02,29.24,2.00,1.50,1.01
33415,0.00,1.00,0.11,29.38,1.02,0.90,0.87
33519,0.01,1.00,-0.03,29.33,0.88,1.09,0.97
33624,0.03,0.99,0.11,29.28,1.87,1.08,1.04
33728,0.04,1.00,-0.01,29.33,0.00,0.67,1.05
33832,0.03,1.00,0.12,29.28,2.38,1.17,0.93
33937,0.04,0.99,-0.01,29.28,0.09,0.48,0.98
34041,0.03,1.00,0.07,29.28,2.50,1.40,0.77
34146,0.02,1.00,0.07,29.28,0.73,0.53,0.96
34251,0.01,0.99,-0.01,29.33,1.66,1.37,1.05
34356,0.02,1.00,0.11,29.28,1.71,0.87,1.08
34460,0.01,1.00,-0.04,29.24,0.74,1.00,1.11
34565,0.03,1.00,0.11,29.38,2.14,1.11,0.82
34669,0.03,1.00,0.00,29.33,-0.08,0.53,1.08
34774,0.03,1.00,0.07,29.38,2.36,1.06,0.92
34878,0.03,1.00,-0.01,29.38,0.20,0.36,0.85
34982,0.03,1.00,0.06,29.38,2.21,1.34,0.79
35087,0.01,1.01,0.08,29.33,0.83,0.80,0.81
35191,0.00,1.00,-0.00,29.28,1.37,1.37,1.05
35297,0.02,1.01,0.13,29.33,1.80,1.04,1.06
